name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Halcyon,https://halcyonagri.com,1,,,Corporate Minority - P2P,180.9M,"November 16, 2022",,,,
Grayce,https://grayce.co.uk,1,,,Unattributed VC,,"September 21, 2018",,,,
Dispatch,https://dispatch.cc,13,3,980K,Acquired,,"October 9, 2013",,,,
Wisedocs,https://wisedocs.ai,10,5,16.86M,Series A - II,3.26M,"August 1, 2024",,,,
Shipium,https://shipium.com,6,4,37.5M,Series A,27.5M,"April 14, 2022",,,,
SparingVision,https://sparingvision.com,10,6,148.51M,Series B,75M,"September 14, 2022",,,,
TradingView,https://tradingview.com,11,6,339.37M,Series C,298M,"October 14, 2021",$3.5M,January 2014,,
Apiax,https://apiax.com,17,12,8.11M,Series A - II,,"March 3, 2021",,,,
Studs,https://studs.com,5,4,23M,Series B,20M,"October 5, 2021",,,,
Cloudastructure,https://cloudastructure.com,4,5,29.69M,Angel,29.6M,"July 14, 2021",,,,
PXL Vision,https://pxl-vision.com,15,9,4.77M,Incubator/Accelerator - II,,"October 13, 2020",,,,
Kumospace,https://kumospace.com,4,4,24M,Series A,21M,"December 9, 2021",,,,
Noctrix Health,https://noctrixhealth.com,8,4,57M,Series C,40M,"January 16, 2024",,,,
Liquid,https://liquidinc.asia,21,7,30.43M,Series A,29.66M,"June 28, 2018",,,,
YardLink,https://yardlink.com,5,2,19.75M,Series A,17.5M,"October 11, 2022",,,,
Daye,https://yourdaye.com,15,4,17.11M,Series A,11.5M,"October 26, 2022",,,,
RadarFit,https://radar.fit,6,5,2.4M,Seed VC - IV,1.02M,"November 21, 2023",,,,
Watershed,https://watershed.bio,4,4,18.52M,Series A,14.5M,"February 8, 2023",,,,
LUMICKS,https://lumicks.com,11,4,115.15M,Debt,21.85M,"October 10, 2024",,,,
Sifflet,https://siffletdata.com,4,3,13M,Series A,13M,"March 21, 2023",,,,
DeepStream,https://deep.stream,8,3,7.55M,Seed VC,6.63M,"November 30, 2021",,,,
Alexi,https://alexi.com,5,4,11.01M,Series A,10.89M,"June 10, 2024",,,,
Ziina,https://ziina.com,14,6,30.85M,Series A,22M,"September 2, 2024",$14M,January 2021,,
MANTL,https://mantl.com,10,7,96.22M,Series B - II,35.2M,"July 7, 2022",,,,
CapitalOS,https://capitalos.com,9,2,39M,Seed VC,,"November 28, 2023",,,,
Luum,https://luum.com,1,,,Acq - Fin,,"March 8, 2021",,,,
CHOOOSE,https://chooose.today,15,7,22.74M,Series A,15M,"January 13, 2023",,,,
Statsig,https://statsig.com,10,2,53.4M,Series B,43M,"April 20, 2022",,,,
Polymarket,https://polymarket.com,22,4,74M,Series B,45M,"May 14, 2024",,,,
Instamojo,https://instamojo.com,14,11,11.21M,Corporate Minority,,"June 28, 2021",,,,
Nearfield Instruments,https://nearfieldinstruments.com,13,10,235.32M,Series C,147.64M,"July 18, 2024",,,,
Goodship,https://thegoodship.com,1,2,1.65M,Acq - Fin,,"December 27, 2017",,,,
Vida Health,https://vida.com,22,7,216.5M,Growth Equity,28.5M,"November 9, 2023",,,,
Lovevery,https://lovevery.com,11,5,126.04M,Private Equity,0.05M,"September 6, 2022",$800M,October 2021,2018,6.8M
Superorder,https://superorder.com,23,3,13.79M,Series A,11.29M,"September 16, 2023",,,,
ENYO Pharma,https://enyopharma.com,10,6,119.26M,Series C,42.61M,"January 3, 2024",,,,
Warp,https://wearewarp.com,8,4,8.1M,Seed VC - II,5.7M,"February 1, 2023",,,,
Visor,https://visor.com,13,5,28.12M,Series A - II,9M,"December 20, 2019",,,,
ROME Therapeutics,https://rometx.com,14,3,199M,Series B - II,72M,"September 12, 2023",,,,
FortyGuard,https://fortyguard.com,5,5,120K,Biz Plan Competition,,"May 31, 2024",,,,
Droppe,https://droppe.com,6,2,6.67M,Seed VC - II,4.18M,"June 18, 2024",,,,
Ascribe Bioscience,https://ascribebio.com,8,7,7.15M,Option/Warrant,2.15M,"October 7, 2024",,,,
MYSUN,https://itsmysun.com,2,3,8.74M,Debt,2.01M,"July 20, 2021",,,,
Intezer,https://intezer.com,7,4,58M,Series C,33M,"September 17, 2024",,,,
Eikon Therapeutics,https://eikontx.com,19,4,771.8M,Series C,106M,"June 1, 2023",,,,
Octave,https://findoctave.com,9,6,88M,Series C - II,5M,"February 8, 2024",,,,
TrojAI,https://troj.ai,11,6,8.86M,Seed VC - III,5.75M,"April 3, 2024",,,,
Allstar,https://allstar.gg,13,5,18.43M,Series A,12M,"December 12, 2023",,,,
Mynvax,https://,6,3,4.2M,Series A,4.2M,"July 19, 2021",,,,
Datapeople,https://datapeople.io,7,5,24.29M,Series A,13M,"June 27, 2023",,,,
Core Biogenesis,https://corebiogenesis.com,5,3,13.64M,Series A,10.5M,"March 29, 2022",,,,
AM Batteries,https://am-batteries.com,17,7,64.93M,Grant - III,2.27M,"July 14, 2024",,,,
Dimensional Energy,https://dimensionalenergy.com,18,9,24.08M,Series A,20M,"September 11, 2023",,,,
Elenas,https://elenas.co,18,8,42.8M,Unattributed VC - II,14.6M,"August 1, 2023",$72M,October 2022,,
Oura,https://ouraring.com,40,10,244.63M,Unattributed VC,,"August 23, 2023","$2,550M",April 2022,2020,60M
CleanCo,https://clean.co,2,1,9.53M,Seed,9.53M,"January 19, 2021",,,,
Splitero,https://splitero.com,10,2,17.8M,Series A,12M,"January 17, 2023",,,,
Anakin,https://anakin.company,6,2,2.13M,Seed VC,2M,"December 10, 2021",,,,
Proggio,https://proggio.com,4,4,9M,Series A,7M,"April 12, 2022",,,,
Sylvera,https://sylvera.com,18,9,104.39M,Series B,57M,"July 18, 2023",,,,
Databricks,https://databricks.com,43,16,4.002B,Secondary Market - II,,"March 22, 2024","$43,000M",November 2023,2023,1B
Omada Health,https://omadahealth.com,33,14,529.67M,Debt,80M,"January 1, 2023","$1,000M",February 2022,,
Asimily,https://asimily.com,9,8,13.17M,Incubator/Accelerator - II,,"May 22, 2024",,,,
Shape,https://theshapers.co,1,,,Seed,,"March 21, 2023",,,,
Quiqup,https://quiqup.com,6,6,45.73M,Loan,1.36M,"March 7, 2022",,,,
Firebolt,https://firebolt.io,9,4,269M,Series C,100M,"January 26, 2022",,,,
Mesh,https://meshnorway.com,1,,,Merger,,"December 1, 2016",,,,
Noodle,https://noodle.cx,4,3,4.78M,Seed VC - II,0.91M,"September 20, 2024",,,,
Clinc,https://clinc.com,9,5,59.72M,Incubator/Accelerator,,"January 1, 2020",,,2017,4.5M
Syfe,https://syfe.com,6,4,79.42M,Series C,27M,"August 13, 2024",,,,
Aruna,https://aruna.id,13,9,75.54M,Debt,5M,"July 4, 2024",,,,
FlowPay,https://,1,2,1.5M,Acquired,,"October 6, 2015",,,,
Choco,https://choco.com,17,8,305.55M,Series B - IV,26.37M,"February 24, 2023","$1,200M",April 2022,,
Simpplr,https://simpplr.com,5,4,118M,Series D,70M,"May 2, 2023",,,,
Joule Case,https://joulecase.com,2,4,1.34M,Incubator/Accelerator - II,,"September 29, 2022",,,,
Calico,https://calicojack.co.uk,1,2,70K,Grant,,"January 10, 2007",,,,
Vytalize Health,https://vytalizehealth.com,8,8,170M,Line of Credit,,"March 15, 2023",,,,
Acin,https://acin.com,12,3,36M,Series B,24M,"December 15, 2022",,,,
Inbox Health,https://inboxhealth.com,17,9,45.67M,Series B,22.5M,"May 4, 2023",,,,
Abett,https://abett.com,6,5,18.1M,Series A,11.6M,"May 21, 2024",,,,
Refeyn,https://refeyn.com,7,5,3.36M,Series B,,"April 11, 2022",,,,
Alkeus Pharmaceuticals,https://alkeuspharma.com,7,6,152.26M,Series B,150M,"June 5, 2023",,,,
Knit,https://goknit.com,18,8,13.59M,Seed VC - III,9M,"September 18, 2024",,,,
Hearth,https://hearth.systems,1,,,Incubator/Accelerator,,"May 31, 2018",,,,
Bluevine,https://bluevine.com,24,14,841.12M,Line of Credit - IV,75M,"February 5, 2022",,,,
Evonetix,https://evonetix.com,10,5,68M,Series B - II,24M,"February 7, 2023",,,,
Anchor,https://anchorrides.com,3,4,4.37M,Unattributed VC,1.82M,"January 23, 2024",,,,
Lyra Health,https://lyrahealth.com,23,11,906.13M,Series G,235M,"January 19, 2022","$4,600M",June 2021,2020,100M
SmartHelio,https://smarthelio.com,17,13,6.96M,Incubator/Accelerator - IV,,"February 2, 2024",,,,
Novidea,https://novidea.com,8,5,110M,Series C - II,30M,"April 9, 2024",,,,
Huel,https://huel.com,6,3,50.01M,Private Equity,,"November 1, 2023",$560M,December 2022,,
iECURE,https://iecure.com,4,2,115M,Series A - II,65M,"November 30, 2022",,,,
JOOR,https://joor.com,15,8,114.1M,Series E,25M,"October 17, 2023",$255M,June 2021,,
Ledger Investing,https://ledgerinvesting.com,12,4,95.92M,Series B,75M,"June 22, 2022",,,,
Leucine,https://leucine.io,4,1,7M,Series A,7M,"October 16, 2023",,,,
Zyla,https://zyla.in,11,4,5M,Series A,4M,"November 30, 2023",,,,
Grafana Labs,https://grafana.com,9,8,840.23M,Secondary Market,,"August 21, 2024","$6,000M",August 2024,,
Deepcell,https://deepcell.com,10,4,97M,Series B,73M,"March 17, 2022",,,,
Terramera,https://terramera.com,19,15,86.55M,Series C,6M,"January 13, 2023",,,,
Shoreline,https://shoreline.no,5,3,11.7M,Series A,7.5M,"March 1, 2022",,,,
Snappr,https://snappr.com,13,9,13.4M,Series B,0.9M,"May 11, 2022",$14M,September 2017,,
Cylus,https://cylus.com,18,7,53.94M,Series B,30M,"December 15, 2021",,,,
51World,https://51world.com.cn,17,5,64.65M,Series C,27.92M,"August 16, 2024",,,,
Contraline,https://contraline.com,26,12,21.47M,Series A - III,7.2M,"November 15, 2022",,,,
OneTrust,https://onetrust.com,7,9,1.144B,Unattributed VC - III,150M,"July 24, 2023",,,2023,400M
QphoX,https://qphox.eu,9,5,11.11M,Series A,8.69M,"January 17, 2024",,,,
Trialbee,https://trialbee.com,4,4,20.14M,Series C,11.93M,"April 28, 2020",,,,
Pando,https://,23,4,4.2M,Acquired,,"October 23, 2019",,,,
Anine Bing,https://aninebing.com,5,4,36M,Loan,1.5M,"April 16, 2020",,,,
Grid,https://grid.cm,1,2,20K,Dead,,"January 1, 2016",,,,
Flexciton,https://flexciton.com,8,3,23.92M,Series A,20.68M,"October 21, 2021",,,,
Unique,https://,1,1,1.5M,Convertible Note,1.5M,"April 1, 2020",,,,
Hertility,https://hertilityhealth.com,6,4,5.91M,Angel,,"October 7, 2024",,,,
Machinations,https://machinations.io,6,6,4.19M,Series A,3.3M,"May 25, 2022",,,,
Libre Foods,https://librefoods.co,9,4,2.84M,Grant,0.37M,"December 19, 2023",,,,
Pixalate,https://pixalate.com,5,5,23.53M,Unattributed VC,18.1M,"September 2, 2021",,,,
Qonto,https://qonto.com,19,7,708.82M,Angel - II,5.43M,"April 21, 2022","$5,000M",January 2022,,
Payment24,https://payment24.co.za,3,3,170K,Corporate Minority,,"April 7, 2020",,,,
SmartCoin,https://smartcoin.co.in,9,6,29.23M,Series B,7M,"February 22, 2022",,,,
Reejig,https://reejig.com,7,4,27.28M,Series B,10.68M,"September 8, 2022",,,,
SuperAnnotate,https://superannotate.com,9,8,24.7M,Series A - II,7M,"December 28, 2023",,,,
rready,https://rready.com,12,5,4M,Debt,,"November 9, 2023",,,,
Bruvi,https://bruvibev.com,,2,3.15M,Seed,2.2M,"September 9, 2020",,,,
GoJoe,https://gojoe.com,9,3,4.55M,Seed VC - II,3.08M,"July 8, 2024",,,,
Group1,https://group1.ai,2,3,250K,Seed,0.25M,"August 29, 2023",,,,
Jupiter Intelligence,https://jupiterintel.com,14,8,88.53M,Series C,54M,"September 14, 2021",,,,
Happl,https://happl.com,2,2,500K,Seed VC,,"January 1, 2022",,,,
INERATEC,https://ineratec.de,16,3,149M,Series B,129M,"January 16, 2024",,,,
SeeTree,https://seetree.ai,15,5,65.2M,Series C,17.5M,"January 1, 2023",,,,
Alma,https://alma.app,1,,,Dead,,"September 30, 2020",,,,
DMC,https://dmcbio.com,12,11,53.54M,Option/Warrant - II,0.07M,"August 24, 2022",,,,
Virtuoso Surgical,https://virtuososurgical.net,4,10,10.2M,Grant - IV,1.8M,"November 14, 2023",,,,
BuildUp,https://buildup.co,9,6,9.16M,Acquired,,"June 10, 2021",,,,
Hood,https://hood.live,17,3,3.34M,Angel - II,0.14M,"February 25, 2023",,,,
LingoAce,https://lingoace.com,6,6,176M,Series C,105M,"December 3, 2021",,,,
Evervault,https://evervault.com,11,4,19.3M,Grant,0.1M,"December 30, 2020",,,,
Abacum,https://abacum.io,12,3,32.13M,Series A,25M,"November 30, 2021",,,,
Honorlock,https://honorlock.com,4,4,39.25M,Series B,25M,"April 27, 2021",,,,
Inshur,https://inshur.com,5,6,71.9M,Series C,26M,"April 21, 2023",,,,
Hireology,https://hireology.com,6,10,62.39M,Loan,3.5M,"April 15, 2020",,,,
Veera,https://veera.com,11,1,6M,Seed VC,6M,"February 15, 2024",,,,
Ruedata,https://ruedata.com,8,5,2.04M,Seed VC - III,1.97M,"May 6, 2024",$1.93M,January 2021,,
Hivebrite,https://hivebrite.io,4,3,57M,Incubator/Accelerator,,"December 1, 2023",,,,
Code Climate,https://codeclimate.com,11,6,68.33M,Series C,50M,"September 1, 2021",,,,
Hydrostor,https://hydrostor.ca,12,9,353.15M,Grant - II,30.07M,"October 21, 2022",,,,
BigHat Biosciences,https://bighatbio.com,11,6,100M,Series B,75M,"July 20, 2022",,,,
Nocion Therapeutics,https://nociontx.com,10,5,89M,Series B - III,40.01M,"March 4, 2024",,,,
Mural Health,https://muralhealth.com,6,3,20.73M,Series A,12.73M,"April 19, 2024",,,,
Dispatch,https://dispatch.cc,13,3,980K,Acquired,,"October 9, 2013",,,,
Acalvio,https://acalvio.com,6,7,20.29M,Unattributed VC,20.29M,"July 18, 2022",,,,
Porter,https://porter.pt,1,1,20K,Seed,0.02M,"March 23, 2017",,,,
iCOMAT,https://icomat.co.uk,10,7,28.49M,Series A,22.5M,"June 5, 2024",,,,
LangChain,https://langchain.com,2,2,35M,Series A,25M,"February 15, 2024",,,,
Caramel,https://drivecaramel.com,3,2,33.37M,Convertible Note,21.37M,"July 22, 2024",,,,
Bayzat,https://bayzat.com,18,9,53.5M,Series C,25M,"December 23, 2022",,,,
Invisible,https://invisible.co,7,4,7.88M,Seed VC - III,5.28M,"July 17, 2019",,,,
Resistant AI,https://resistant.ai,7,3,30.35M,Series A - II,11M,"June 27, 2023",,,,
Mango Sciences,https://mangosciences.com,5,4,2.71M,Seed VC - II,,"January 1, 2022",,,,
Vivid Vision,https://seevividly.com,15,8,2.5M,Loan,0.25M,"May 4, 2020",,,,
Perception Point,https://perception-point.io,6,4,37.96M,Series B,27.96M,"April 21, 2021",,,,
Button,https://usebutton.com,17,5,64.25M,Series C,30M,"June 24, 2019",,,,
Coro,https://coronewyork.org,1,1,500K,Grant,0.5M,"April 19, 2024",,,,
Wakeo,https://wakeo.co,7,6,32.9M,Series B,19.6M,"December 4, 2023",,,,
ZeroAvia,https://zeroavia.com,34,18,378.57M,Series C - III,26.17M,"September 12, 2024",,,,
Reverion,https://reverion.com,17,9,81.76M,Series A,62M,"September 12, 2024",,,,
Side,https://sideinc.com,10,7,262.82M,Series D - II,50M,"June 28, 2021","$1,000M",March 2021,,
Temporal,https://temporal.io,6,4,196.75M,Series C,75M,"February 28, 2023","$1,500M",February 2022,,
Coverflex,https://coverflex.com,19,2,22.33M,Series A,16.34M,"February 1, 2023",,,,
Finta,https://finta.com,3,2,500K,Seed VC,0.5M,"April 1, 2023",,,,
HATCH Collection,https://hatchcollection.com,5,6,9M,Acquired,,"October 1, 2024",,,,
UpCodes,https://up.codes,12,3,6.98M,Series A,3.5M,"May 30, 2023",,,,
Revent,https://revent.store,4,4,1.2M,Pre-Seed - II,0.9M,"May 17, 2024",,,,
AAZZUR,https://aazzur.com,7,7,120K,Seed VC,,"May 9, 2023",,,,
Anyscale,https://anyscale.com,10,4,259.6M,Series C - II,99M,"August 23, 2022","$1,000M",December 2021,,
Impossible Foods,https://impossiblefoods.com,41,15,2.006B,Series H,500M,"November 23, 2021","$4,000M",March 2020,2019,90M
VideoAmp,https://videoamp.com,20,12,587.1M,Series G,150M,"September 13, 2023","$1,400M",October 2021,,
Snyk,https://snyk.io,32,16,1.247B,Corporate Minority,25M,"January 24, 2023","$7,400M",December 2022,2021,108.5M
GoGuardian,https://goguardian.com,2,2,200M,Corporate Minority,200M,"August 5, 2021",,,,
Crayon Data,https://crayondata.com,14,7,2.58M,Incubator/Accelerator - II,,"February 18, 2021",,,,
FilmHedge,https://filmhedge.com,7,5,112M,Angel,,"April 23, 2024",$5M,March 2021,,
Papercup,https://papercup.com,12,3,30.72M,Series A,20M,"May 1, 2022",$1.11M,January 2018,,
Sila,https://silamoney.com,10,5,20.7M,Series A,13M,"July 26, 2021",,,,
LifeQ,https://lifeq.com,22,2,47M,Incubator/Accelerator,,"April 11, 2023",,,,
Kaia Health,https://kaiahealth.com,13,8,123.05M,Series C - II,,"July 13, 2021",,,,
Taskbase,https://taskbase.com,7,5,5.26M,Series A,3.92M,"June 17, 2024",,,,
Plastomics,https://plastomics.com,17,9,13.67M,Series A,7.1M,"November 16, 2021",,,,
Zomentum,https://zomentum.com,4,4,17.1M,Series A,13M,"February 16, 2021",,,,
VIA,https://viadelivers.com,1,,,Acquired,,"March 7, 2018",,,,
Kaiko,https://kaiko.com,14,3,82.52M,Series B,53M,"June 28, 2022",,,,
Meatable,https://meatable.com,20,8,106.38M,Grant - II,8.46M,"September 24, 2024",,,,
Faire,https://faire.shop,,1,580K,Debt,0.58M,"July 9, 2018",,,,
Appetise,https://appetise.io,5,4,3.05M,Seed VC,2.4M,"August 14, 2024",,,,
Udaan,https://udaan.com,27,20,2.005B,Series F,33M,"January 16, 2024","$1,300M",December 2023,,
Venn,https://venn.city,6,3,110M,Corporate Minority,10M,"July 12, 2021",,,,
M2X Energy,https://m2x.energy,7,4,74M,Grant,10M,"June 20, 2024",,,,
Sdui,https://sdui.de,13,5,53.2M,Series A - III,22.98M,"July 17, 2024",,,,
Marpipe,https://marpipe.com,10,4,10.29M,Series A,8.19M,"August 31, 2021",,,,
Pixellot,https://pixellot.tv,14,9,213.3M,Series D,161M,"June 13, 2022",,,,
Locad,https://golocad.com,28,5,16.9M,Series A,11M,"January 16, 2023",,,,
Abode,https://useabode.com,1,2,3.34M,Loan,0.68M,"May 22, 2020",,,,
Armalytix,https://armalytix.com,2,2,2.39M,Angel - II,1M,"September 28, 2022",,,,
Orca Security,https://orca.security,16,6,632M,Series C - II,340M,"October 5, 2021","$1,200M",March 2021,,
AuDigent,https://audigent.com,10,4,29.83M,Unattributed VC,2M,"March 12, 2024",,,,
CData,https://cdata.com,4,5,510M,Debt,,"June 26, 2024",$800M,June 2024,,
Shardeum,https://shardeum.org,39,3,30.8M,Seed VC - III,7.2M,"December 22, 2023",$248M,July 2023,,
Aclaimant,https://aclaimant.com,10,9,31.16M,Unattributed,2.47M,"January 3, 2023",,,,
Diligent Robotics,https://diligentrobots.com,17,8,79.68M,Series C - II,8.75M,"June 3, 2024",,,,
Myro,https://mymyro.com,7,10,18.36M,Series A - III,,"January 12, 2022",,,,
Qoala,https://qoala.app,28,7,132.42M,Series C,47M,"March 26, 2024",,,,
TPaga,https://tpaga.co,13,6,13.92M,Convertible Note,0.1M,"March 7, 2022",,,,
Gaviti,https://gaviti.com,5,1,9M,Series A,9M,"April 5, 2022",,,,
Senser,https://senser.tech,3,2,9.5M,Seed VC,9.5M,"September 27, 2023",,,,
PropReturns,https://propreturns.com,10,3,1.33M,Seed - II,,"July 12, 2022",,,,
AcadArena,https://acadarena.com,14,5,14.15M,Series A - III,0.45M,"October 10, 2023",,,,
LambdaTest,https://lambdatest.com,13,8,70.4M,Series C - II,,"May 22, 2023",,,,
Fixposition,https://fixposition.com,16,8,15.33M,Incubator/Accelerator - III,,"March 5, 2024",,,,
BRCK,https://brck.com,11,3,4.37M,Seed,3M,"January 8, 2016",,,,
Mangomint,https://mangomint.com,5,3,60M,Series B,35M,"September 6, 2024",,,,
Zighra,https://zighra.com,6,4,1.22M,Incubator/Accelerator,,"July 26, 2019",,,,
TenureX,https://tenurex.com,14,5,6M,Dead,,"February 3, 2023",,,,
Incepto Medical,https://incepto-medical.com,8,5,33.55M,Series B,26.98M,"September 19, 2022",,,,
OQmented,https://oqmented.com,9,5,35.28M,Series A - II,20M,"March 27, 2023",,,,
Rightfoot,https://rightfoot.com,16,6,20.04M,Series A,15M,"August 10, 2023",,,,
Metomic,https://metomic.io,6,3,21.76M,Series A,20M,"February 22, 2023",,,,
Juni,https://juni.co,10,5,281.86M,Debt,106M,"June 8, 2022",$621.77M,June 2022,,
Blueland,https://blueland.com,14,7,23.08M,Series B,20M,"February 17, 2022",,,,
anywell,https://anywell.com,3,2,15M,Series A,10M,"March 15, 2022",,,,
ECO,https://teameco.co,1,,,Seed,,,,,,
Ossium Health,https://ossiumhealth.com,12,8,129.6M,Series C,52M,"July 25, 2023",,,,
Simetrik,https://simetrik.com,23,6,89.85M,Series B,55M,"February 21, 2024",$100M,March 2022,,
Contractbook,https://contractbook.com,9,5,43.44M,Series B,30M,"May 11, 2021",,,2020,7.7M
Intigriti,https://intigriti.com,4,3,27.01M,Series B,22.41M,"April 26, 2022",,,,
Arcatron Mobility,https://arcatron.com,12,5,100K,Private Equity,,"February 15, 2024",,,,
Gozem,https://gozem.co,14,8,27.4M,Series B,11.5M,"April 24, 2023",,,,
Safehouse,https://safehousetech.com,6,5,8.96M,Angel,6M,"December 13, 2022",,,,
PatientPartner,https://patientpartner.com,6,5,7M,Convertible Note,3.5M,"September 4, 2024",,,,
ID Finance,https://idfinance.com,8,10,263.2M,Debt - II,150M,"February 6, 2024",$253.58M,March 2023,2023,193.51M
Culture,https://culturebiosciences.com,17,6,101.25M,Series B,80M,"October 14, 2021",$24M,January 2018,,
flitter,https://flitter.fr,10,4,6.53M,Loan,1.07M,"November 6, 2023",,,,
Rapyuta Robotics,https://rapyuta-robotics.com,22,17,78.82M,Loan,,"March 29, 2024",,,,
Abstract,https://abstract.com,5,5,51.92M,Acquired,,"January 13, 2022",$190M,March 2019,,
Juni Learning,https://junilearning.com,7,3,11.41M,Series A,10.5M,"February 1, 2020",,,,
PassiveLogic,https://passivelogic.com,11,9,81.82M,Unattributed VC,15M,"September 21, 2022",,,,
Atropos Health,https://atroposhealth.com,13,6,50.33M,Series B,33M,"May 23, 2024",,,,
AI Clearing,https://aiclearing.com,7,4,17M,Series A,14M,"October 2, 2023",,,,
Grain,https://grain.com.sg,15,6,21.7M,Series B,10M,"May 10, 2019",,,,
Studytube,https://studytube.nl,7,7,45.51M,Series B,30M,"February 3, 2022",,,,
Pass The Keys,https://passthekeys.co.uk,1,2,430K,Series A,,"September 7, 2017",,,,
Leena AI,https://leena.ai,12,5,40.12M,Series B,30M,"September 28, 2021",,,,
Paige,https://paigebraille.com,2,2,40K,Biz Plan Competition - II,0.02M,"March 8, 2023",,,,
Ondorse,https://ondorse.co,2,2,6.56M,Seed VC - II,4.01M,"September 26, 2023",,,,
what3words,https://what3words.com,24,16,39.97M,Unattributed VC - II,,"January 25, 2022",,,,
PowerPlay,https://powerplaykc.com,1,,,Angel - II,,"June 14, 2007",,,,
Handoff AI,https://handoff.ai,7,6,19.65M,Series A,14M,"September 22, 2021",,,,
Haulio,https://haulio.io,25,6,7.9M,Series A,7M,"January 18, 2022",,,,
Ultivue,https://ultivue.com,13,7,100.47M,Merger,,"October 9, 2024",,,,
VRChat,https://vrchat.com,7,8,95.33M,Series D,80M,"June 25, 2021",,,,
Habito,https://habito.com,19,10,86.11M,Series D,,"June 2, 2023",,,,
Bamboo,https://bambooapp.ie,2,2,620K,Acquired,,"January 10, 2021",,,,
GOQii,https://goqii.com,40,15,128.83M,Unattributed,18.18M,"July 14, 2022",,,,
Repeat,https://repeat.app,,2,4.38M,Unattributed,1.88M,"August 3, 2020",,,,
Jiko,https://jiko.io,19,4,87.7M,Series B,40M,"October 6, 2022",,,,
HeartFlow,https://heartflow.com,16,15,757.41M,Series F - II,215M,"April 6, 2023","$1,500M",February 2018,,
Tylko,https://tylko.com,10,4,41.37M,Debt,8.09M,"December 12, 2023",,,,
Kern Tec,https://kern-tec.com,9,8,15.44M,Series A,12.78M,"September 23, 2023",,,,
Purely Capital,https://purely.capital,2,3,150M,Acquired,,"February 23, 2022",,,,
Juno Journey,https://junojourney.com,5,3,19.01M,Incubator/Accelerator - II,,"May 5, 2024",,,,
3E Nano,https://3enano.com,13,7,9.83M,Seed VC,4M,"March 28, 2023",,,,
Mesh,https://meshnorway.com,1,,,Merger,,"December 1, 2016",,,,
Kwara,https://kwara.com,22,9,7.2M,Seed VC - II,3M,"January 16, 2023",,,,
EngineEars,https://engineears.com,17,3,8.5M,Seed VC - II,7.5M,"February 20, 2024",,,,
Fetcher,https://fetcher.ai,10,4,38.9M,Series B,20M,"May 19, 2022",,,,
Evvy,https://evvy.com,12,2,19M,Series A,14M,"August 31, 2023",,,,
Public,https://public.fr,1,,,Acquired,,"January 10, 2024",,,,
Habi,https://habi.co,24,11,541.8M,Debt,30M,"April 10, 2024",,,,
ENpower,https://enpower-school.com,1,1,370K,Seed VC,0.37M,"November 4, 2019",,,,
Shippo,https://goshippo.com,22,11,154.03M,Series E,50M,"June 2, 2021",$495M,February 2021,,
Iktos,https://iktos.ai,3,1,16.37M,Series A,16.37M,"March 9, 2023",,,,
Ecomedes,https://ecomedes.com,7,4,6.79M,Seed VC - III,3.25M,"March 4, 2021",,,,
Watsi,https://watsi.org,16,5,4.97M,Loan,0.25M,"May 3, 2020",,,,
PathogenDx,https://pathogendx.com,14,5,11.83M,Grant,,"July 28, 2020",,,,
Selector,https://selector.ai,5,2,33M,Series A,28M,"March 15, 2022",,,,
Radionetics Oncology,https://radionetics.com,6,4,222.5M,Series B,140M,"July 1, 2024",,,,
FirmPilot,https://firmpilot.com,9,4,7M,Series A,5M,"April 23, 2024",,,,
OTO,https://otocapital.in,15,4,18.09M,Series C,10M,"February 6, 2024",,,,
Ripcord,https://ripcord.com,16,9,151.5M,Series C,32M,"April 16, 2024",$250M,December 2017,,
SumUp,https://sumup.com,36,16,4.045B,Loan - III,"1,608M","April 30, 2024","$8,500M",June 2022,,
Terminal,https://terminal.io,9,2,27M,Series B,17M,"September 26, 2019",,,,
Waldo,https://,1,,,Incubator/Accelerator,,,,,,
Shabodi,https://shabodi.com,13,5,15.85M,Series A,10.3M,"December 14, 2022",,,,
Givebutter,https://givebutter.com,18,2,57M,Series A,50M,"April 22, 2024",,,,
LiveFlow,https://liveflow.io,9,3,17.13M,Series A,13.5M,"September 24, 2024",,,,
Zenlytic,https://zenlytic.com,8,4,15.4M,Series A,9M,"July 17, 2024",,,,
XYZ Reality,https://xyzreality.com,6,3,34.63M,Incubator/Accelerator,,"March 19, 2024",,,,
Transcend Packaging,https://transcendpackaging.com,6,5,29.23M,Series A,,"July 24, 2024",,,2023,27.07M
Cashflo,https://cashflo.io,13,3,12M,Series B,8.7M,"September 6, 2022",,,,
Philo,https://philo.com,17,10,88.33M,Series D,,"August 6, 2020",,,,
Amber Therapeutics,https://amber-tx.com,8,4,100M,Series A,100M,"June 10, 2024",,,,
Instagrid,https://instagrid.co,13,7,137.49M,Series C,95M,"January 23, 2024",,,,
LICK,https://lickco.com,2,2,40K,Incubator/Accelerator,0.04M,"October 28, 2020",,,,
Lofty,https://lofty.com,10,8,2.2M,Acquired,,"October 13, 2016",,,,
Pitchly,https://pitchly.com,14,9,10.18M,Series A - II,0.5M,"May 3, 2024",,,,
LifeScore,https://lifescoremusic.com,6,2,14.5M,Series A,14.5M,"March 7, 2022",,,,
