name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Veremark,https://veremark.com,11,4,14.18M,Series A,3M,"April 11, 2024",,,,
Censinet,https://censinet.com,9,5,19.98M,Series B,9M,"January 11, 2023",,,,
Flex Finance,https://flexfinance.ai,13,5,1.01M,Seed VC - III,,"April 1, 2023",,,,
Popsa,https://popsa.com,6,3,17.59M,Series B,12.24M,"February 3, 2022",,,,
Chattermill,https://chattermill.com,15,6,34.8M,Series B,26M,"December 6, 2022",,,2019,1.93M
CrowdSec,https://crowdsec.net,4,4,20.59M,Incubator/Accelerator,,"March 22, 2023",,,,
Mercor,https://mercor.com,10,2,35.6M,Series A,32M,"September 18, 2024",,,,
Cordial,https://cordial.com,6,4,71.12M,Series C,50M,"July 26, 2022",,,,
GroMo,https://gromo.in,18,5,11.73M,Series A,11M,"September 6, 2022",,,,
Crossbeam,https://crossbeamcapital.com,1,,,Other Investors,,,,,,
Highline,https://highlinedobrasil.com,2,,,Acquired,,"December 10, 2019",,,,
FreshMenu,https://freshmenu.com,8,7,32.56M,Unattributed VC - III,7M,"May 5, 2022",$50M,August 2019,2020,19.53M
Causaly,https://causaly.com,14,5,90.72M,Series B - II,60M,"July 13, 2023",,,,
Lakera,https://lakera.ai,7,3,30M,Series A,20M,"July 24, 2024",,,,
Abatable,https://abatable.com,7,3,16.63M,Seed - II,13.5M,"April 13, 2023",,,,
Envoy,https://envoy.com,16,7,203.5M,Series C - II,111M,"January 11, 2022",,,,
Nelo,https://nelo.mx,13,3,123M,Line of Credit,100M,"August 1, 2022",,,,
ARTBIO,https://artbio.com,3,2,113M,Series A,90M,"December 7, 2023",,,,
nTop,https://ntop.com,15,10,132.24M,Unattributed VC,,"September 17, 2024",$400M,November 2021,,
Fanplayr,https://fanplayr.com,2,2,2M,Seed VC - II,2M,"January 16, 2013",,,,
Upgrade,https://upgrade.com,22,9,562.5M,Series F,280M,"November 16, 2021","$3,325M",August 2021,,
ConductorOne,https://conductorone.com,10,3,32M,Series A - II,12M,"August 8, 2023",,,,
Polycam,https://poly.cam,4,2,18M,Series A,18M,"February 7, 2024",,,,
FabHotels,https://fabhotels.com,10,8,73.55M,Series C,20M,"September 2, 2023",$119.24M,January 2020,,
Jetti Resources,https://jettiresources.com,18,9,169.3M,Series D,100M,"October 24, 2022",,,,
Aspinity,https://aspinity.com,11,9,27.49M,Debt - II,2.6M,"May 21, 2024",,,,
elice,https://elice.io,9,5,26.35M,Series C,14.85M,"January 17, 2024",,,,
Yassir,https://yassir.com,22,7,193.4M,Incubator/Accelerator,,"April 11, 2023",,,,
Sightline Payments,https://sightlinepayments.com,10,12,359.48M,Private Equity - II,,"October 20, 2022","$1,000M",August 2021,2020,35.4M
Knowledgehook,https://knowledgehook.com,10,5,15.9M,Series A,14.5M,"October 15, 2020",,,,
NLX,https://nlxcorp.com,2,,,Acquired,,"October 17, 2003",,,,
Visier,https://visier.com,5,5,216.5M,Series E,125M,"June 29, 2021",,,,
Cleanwatts,https://cleanwatts.energy,1,1,26.1M,Private Equity,26.1M,"June 28, 2022",,,,
